,Restaurant,Cuisine,Ratings,Delivery_time_mins,Cost_for_two
0,Behrouz Biryani,"Biryani, Mughlai",4.1,44,600
1,Faasos,"Fast Food, North Indian, Biryani, Desserts",4.1,46,200
2,LunchBox,"North Indian, Desserts, Biryani",3.9,46,200
3,Indiana Burgers,"American, Fast Food, Beverages, Healthy Food",4.1,46,150
4,Ovenstory Pizza,"Pizzas, Italian",4.0,52,600
5,The Good Bowl,"North Indian, Biryani, Asian, Pastas, Desserts",4.0,40,400
6,The Biryani Life,"Biryani, Mughlai, Indian",3.6,44,250
7,Firangi Bake,"Italian, Mexican, Pastas",4.0,44,400
8,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--,35,200
9,SLAY Coffee,"Beverages, Cafe, Desserts",4.5,40,200
10,Sweet Truth,"Bakery, Desserts, Ice Cream",4.1,41,200
11,McDonald's Gourmet Burger Collection,"American, Continental, Fast Food, Desserts, Beverages",4.1,47,600
12,WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream",4.1,44,200
13,Kaati Zone Rolls and Wraps,"Fast Food, Beverages, Bengali, Biryani, Indian, North Indian, Snacks, Street Foo...",3.9,45,150
14,Behrouz Biryani,"Biryani, Mughlai",4.1,44,600
15,Faasos,"Fast Food, North Indian, Biryani, Desserts",4.1,46,200
16,LunchBox,"North Indian, Desserts, Biryani",3.9,46,200
17,Indiana Burgers,"American, Fast Food, Beverages, Healthy Food",4.1,46,150
18,Ovenstory Pizza,"Pizzas, Italian",4.0,52,600
19,The Good Bowl,"North Indian, Biryani, Asian, Pastas, Desserts",4.0,40,400
20,The Biryani Life,"Biryani, Mughlai, Indian",3.6,44,250
21,Firangi Bake,"Italian, Mexican, Pastas",4.0,44,400
22,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--,35,200
23,SLAY Coffee,"Beverages, Cafe, Desserts",4.5,40,200
24,Sweet Truth,"Bakery, Desserts, Ice Cream",4.1,41,200
